,page,job_id,title,role_id,listing_date,teaser,classification,subClassification,workType,location,suburbWhereValue,salary,companyName,company_advertiser,isPrivateAdvertiser
0,1,54289018,Google Ads Expert (PPC specialist) - Digital Marketing,digital-marketing,2021-10-11T00:09:57Z,The team at Digital Marketing Adelaide are excited to put the call out for a talented Google Ads/PPC expert who has a passion for digital marketing.,Marketing & Communications,Digital & Search Marketing,Full Time,Adelaide,North Adelaide SA 5006,,,Digital Marketing Adelaide,False
1,1,54276509,Product Manager,product-manager,2021-10-08T07:39:16Z,"Use your creativity and analysis skills to define new product features; shape existing user experiences in a dynamic, collaborative team environment.",Information & Communication Technology,Product Management & Development,Full Time,Adelaide,Dulwich SA 5065,Attractive salary + great location,Ascender,Ascender,False
2,1,54275558,Data Reporting Officer,data-reporting-officer,2021-10-08T06:51:47Z,Seeking a Data Reporting Officer to work closely with relevant stakeholders to respond to data enquiries and develop and update data reports.,Information & Communication Technology,Other,Contract/Temp,Adelaide,Adelaide SA 5000,,,Hudson - Projects & Transformation,False
3,1,54293615,Graduate Costing Analyst,costing-analyst,2021-10-11T02:29:40Z,Join a great company with a great history. Opportunity to become part of our Group Costing team in Stratco's Adelaide head office.,"Manufacturing, Transport & Logistics",Analysis & Reporting,Full Time,Adelaide,Gepps Cross SA 5094,,Stratco,Stratco,False
4,1,54245419,Business Intelligence Analyst,business-intelligence-analyst,2021-10-07T03:30:09Z,Looking for an experienced BI Analyst to join our Optus Business team!,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,,,Optus,Optus,False
5,1,54206493,Data Analyst - Rates,data-analyst,2021-10-05T05:12:36Z,This is a great opportunity to use your data analytics skills to support our team to deliver the valuation and rating for the Annual Business Plan,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,,,City of Adelaide,City of Adelaide,False
6,1,54206494,Data Analyst - Rates,data-analyst,2021-10-05T05:12:36Z,This is a great opportunity to use your data analytics skills to support our team to deliver the valuation and rating for the Annual Business Plan,Government & Defence,Government - Local,Full Time,Adelaide,,,City of Adelaide,City of Adelaide,False
7,1,54153618,Data Analyst,data-analyst,2021-09-30T10:42:38Z,"Are you passionate about data? The ability to look beneath the numbers, and have a penchant for creating and tracking meaningful KPIs is what we need!",Accounting,Analysis & Reporting,Full Time,Adelaide,Adelaide SA 5000,,Stoller Australia,Stoller Australia,False
8,1,54150559,Data Analyst,data-analyst,2021-09-30T06:47:35Z,"We are seeking a Data Analyst to work alongside a team to help identify clients’ business needs, gather user requirements, and develop user stories.",Information & Communication Technology,Other,Full Time,Adelaide,,,Relationships Australia SA,Relationships Australia South Australia,False
9,1,54250842,Business Intelligence Developer,business-intelligence-developer,2021-10-07T06:03:29Z,The BI Developer will be responsible for creating and managing BI and analytics solutions that turn data into knowledge that will support better de...,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,,,BAE Systems,BAE Systems,False
